ShipmentID,OrderID,CarrierID,WarehouseID,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ShippingCost,ShipmentStatus,TrackingNumber
5939,7938,20,6,14/06/23,22/06/23,24/06/23,8.66,Delayed,TRK214347987
5940,7942,22,20,14/07/24,17/07/24,,16.67,Delivered,TRK580487475
5941,7943,8,17,23/01/24,26/01/24,31/01/24,44.18,Delivered,TRK814301778
5942,7944,10,18,11/10/22,18/10/22,20/10/22,48.8,Delivered,TRK880842847
5943,7945,20,17,15/09/22,24/09/22,30/09/22,29.48,In Transit,TRK173706294
5944,7947,18,2,08/08/24,11/08/24,13/08/24,12.14,Delivered,TRK224476998
5945,7948,11,17,23/12/24,26/12/24,,7.77,In Transit,TRK628765635
5946,7949,1,10,22/08/23,28/08/23,27/08/23,29.93,Delivered,TRK372770009
5947,7951,25,5,19/02/24,21/02/24,,36.83,Delivered,TRK823052950
5948,7952,11,17,14/07/22,16/07/22,,35.86,Delivered,TRK868517400
5949,7954,22,19,15/08/22,17/08/22,16/08/22,36.45,In Transit,TRK981782253
5950,7955,8,17,04/09/23,13/09/23,,46.56,Delivered,TRK605452326
5951,7956,8,10,09/09/22,12/09/22,12/09/22,16.08,Delivered,TRK436310055
5952,7957,23,5,13/05/23,14/05/23,13/05/23,39.96,In Transit,TRK229930244
5953,7958,5,12,02/08/23,07/08/23,07/08/23,29.98,Delivered,TRK831736278
5954,7959,14,11,22/09/22,26/09/22,,7.81,Delivered,TRK481532178
5955,7960,14,7,21/05/24,31/05/24,02/06/24,33.96,In Transit,TRK177994711
5956,7961,17,11,22/06/22,25/06/22,01/07/22,33.39,Delayed,TRK715234465
5957,7962,22,15,06/05/22,12/05/22,,26.69,In Transit,TRK638016004
5958,7965,9,20,07/02/22,08/02/22,,10,Delayed,TRK583647962
5959,7967,18,10,25/06/22,01/07/22,03/07/22,27.66,Delivered,TRK139064957
5960,7968,6,19,28/08/24,02/09/24,04/09/24,9.04,Delayed,TRK674816564
5961,7969,19,7,22/08/22,29/08/22,,25.2,Delivered,TRK900235118
5962,7970,15,8,09/07/22,18/07/22,,11.7,Delivered,TRK527799094
5963,7971,19,15,09/08/24,10/08/24,10/08/24,32.5,Delivered,TRK386371530
5964,7972,23,6,12/10/24,14/10/24,14/10/24,29.14,In Transit,TRK976686792
5965,7973,6,1,24/02/24,26/02/24,,43.08,Delivered,TRK231111701
5966,7974,5,6,06/09/23,15/09/23,,16.03,Delivered,TRK811561008
5967,7975,8,7,27/08/22,02/09/22,02/09/22,13.83,In Transit,TRK625430907
5968,7976,5,13,13/06/22,16/06/22,17/06/22,26.87,Lost,TRK176123913
5969,7977,22,17,20/02/22,02/03/22,,29.08,In Transit,TRK555283251
5970,7979,8,16,29/07/22,08/08/22,07/08/22,18.02,Delivered,TRK878873312
5971,7980,23,5,14/07/22,21/07/22,22/07/22,11.32,In Transit,TRK354945769
5972,7981,25,13,09/01/22,16/01/22,17/01/22,12.47,Delivered,TRK755821385
5973,7982,10,17,12/03/22,14/03/22,13/03/22,10.23,Delivered,TRK493811105
5974,7983,12,16,02/08/23,12/08/23,11/08/23,18.25,Delivered,TRK942332530
5975,7984,18,14,23/05/23,25/05/23,26/05/23,35.64,Delivered,TRK726554976
5976,7985,1,14,24/02/23,02/03/23,,42.9,Delivered,TRK331671002
5977,7986,14,4,22/02/22,27/02/22,01/03/22,8.44,Delivered,TRK618144833
5978,7987,21,19,09/02/22,17/02/22,18/02/22,30.43,Delivered,TRK963950535
5979,7988,17,11,14/07/24,16/07/24,22/07/24,43.03,In Transit,TRK902254458
5980,7989,20,18,18/10/23,25/10/23,25/10/23,39.54,In Transit,TRK741064285
5981,7991,6,10,04/10/24,10/10/24,09/10/24,29.11,Delayed,TRK658950123
5982,7992,24,2,14/01/24,17/01/24,18/01/24,44.96,Delivered,TRK324906537
5983,7993,14,8,26/02/24,29/02/24,28/02/24,33.12,Delivered,TRK715928294
5984,7995,24,14,25/08/23,26/08/23,26/08/23,5.79,Delivered,TRK695234218
5985,7996,13,7,20/06/24,23/06/24,24/06/24,31.62,In Transit,TRK442891720
5986,7998,11,11,04/03/23,09/03/23,11/03/23,9.81,Delivered,TRK405553830
5987,7999,3,11,16/04/22,19/04/22,21/04/22,6.1,Delivered,TRK531582274
5988,8000,14,17,10/03/22,12/03/22,18/03/22,8.93,Delivered,TRK738028413
5989,8002,21,13,13/09/24,20/09/24,20/09/24,45.85,Delivered,TRK438319575
5990,8004,7,1,20/12/22,25/12/22,25/12/22,11.3,In Transit,TRK874817210
5991,8005,4,3,29/09/22,03/10/22,04/10/22,35.03,Delivered,TRK426027609
5992,8007,16,2,09/10/23,12/10/23,,48.54,Delayed,TRK491433511
5993,8008,15,15,11/04/24,17/04/24,,29.12,In Transit,TRK382916486
5994,8011,7,6,11/05/24,17/05/24,17/05/24,44.94,Delivered,TRK894119362
5995,8013,17,15,30/08/23,01/09/23,07/09/23,20.63,Delivered,TRK886044244
5996,8014,15,2,03/06/22,11/06/22,12/06/22,15.73,Delayed,TRK485220055
5997,8015,18,16,13/12/22,15/12/22,,42.17,Delivered,TRK926207597
5998,8016,16,3,25/03/23,02/04/23,03/04/23,32.15,Delivered,TRK774925359
5999,8017,14,13,13/12/24,14/12/24,16/12/24,29.27,Delayed,TRK107876428
6000,8018,4,19,20/12/22,26/12/22,28/12/22,30.76,Delivered,TRK645126663
6001,8019,17,9,16/01/24,20/01/24,,14.34,Delivered,TRK744943136
6002,8020,3,11,23/04/22,26/04/22,25/04/22,30.46,Delayed,TRK868873518
6003,8023,7,2,29/12/24,31/12/24,,30.47,Delivered,TRK758379145
6004,8024,20,13,20/05/23,28/05/23,01/06/23,39.75,In Transit,TRK373106095
6005,8025,7,7,04/04/24,12/04/24,13/04/24,6.36,Delivered,TRK946425869
6006,8026,9,1,06/10/24,11/10/24,11/10/24,11.39,Delivered,TRK549846345
6007,8027,12,10,06/01/22,15/01/22,17/01/22,48.67,Delivered,TRK963765796
6008,8028,9,19,18/06/24,23/06/24,23/06/24,5.61,Delivered,TRK136783866
6009,8029,6,3,04/11/22,09/11/22,,22.62,Delivered,TRK579338707
6010,8030,13,12,31/12/22,10/01/23,10/01/23,43.67,Delivered,TRK878183499
6011,8031,7,20,30/03/24,02/04/24,,26.79,In Transit,TRK315761359
6012,8036,18,4,26/02/22,02/03/22,,24.28,Delayed,TRK275048239
6013,8038,24,12,11/09/24,20/09/24,25/09/24,24.42,Delivered,TRK990148211
6014,8039,9,11,09/03/23,19/03/23,,10.67,Delivered,TRK519169241
6015,8040,15,18,25/10/22,28/10/22,29/10/22,32.75,Delivered,TRK383076353
6016,8041,16,7,25/03/22,02/04/22,01/04/22,45.18,Delivered,TRK896558948
6017,8042,8,6,18/09/24,22/09/24,,40.61,Delivered,TRK795451704
6018,8043,21,20,09/03/23,17/03/23,19/03/23,36.95,Delivered,TRK968536111
6019,8044,9,9,14/02/23,24/02/23,25/02/23,12.87,In Transit,TRK247554007
6020,8045,7,1,13/08/24,21/08/24,22/08/24,39.66,Delivered,TRK993842456
6021,8046,21,16,23/02/24,01/03/24,,26.55,Delivered,TRK647922712
6022,8047,21,15,13/02/24,16/02/24,17/02/24,25.15,Delivered,TRK883699618
6023,8048,21,20,08/09/24,10/09/24,10/09/24,48.85,Delivered,TRK581861695
6024,8049,25,11,02/11/24,10/11/24,12/11/24,8.65,In Transit,TRK738336059
6025,8050,24,3,19/12/24,28/12/24,02/01/25,48.83,Delivered,TRK480987734
6026,8051,6,16,06/01/22,14/01/22,13/01/22,10.47,In Transit,TRK990194760
6027,8052,19,13,06/05/23,07/05/23,06/05/23,40.92,In Transit,TRK689330564
6028,8053,25,16,27/12/22,30/12/22,30/12/22,13.97,Delivered,TRK783386729
6029,8054,15,5,19/03/23,27/03/23,27/03/23,11.19,Delivered,TRK574926577
6030,8056,19,14,05/10/24,14/10/24,,7.15,Delivered,TRK682086605
6031,8057,15,12,27/10/22,28/10/22,,41.11,Delivered,TRK529869532
6032,8058,5,15,13/11/23,17/11/23,18/11/23,13.23,Delivered,TRK373909746
6033,8059,15,6,17/02/22,21/02/22,21/02/22,49.4,Delivered,TRK203389031
6034,8060,6,15,10/11/23,15/11/23,,44.73,In Transit,TRK801495233
6035,8061,3,12,10/02/23,11/02/23,12/02/23,28.74,Delivered,TRK244290293
6036,8062,12,18,11/09/23,15/09/23,,12.63,Delivered,TRK901334712
6037,8063,16,10,08/08/22,16/08/22,16/08/22,24.22,Delivered,TRK624285970
6038,8064,4,12,11/04/23,19/04/23,21/04/23,49.41,Delivered,TRK572954904
6039,8065,20,19,16/08/22,19/08/22,18/08/22,42.93,Lost,TRK609293910
6040,8066,18,14,06/09/23,14/09/23,13/09/23,15.42,Delivered,TRK283568187
6041,8067,5,9,21/02/23,24/02/23,26/02/23,24.1,Delivered,TRK152279062
6042,8068,5,3,06/03/24,13/03/24,,31.61,Delivered,TRK124261186
6043,8069,22,15,13/09/23,14/09/23,17/09/23,20.72,In Transit,TRK214501135
6044,8070,8,5,26/03/23,29/03/23,02/04/23,36.46,Delivered,TRK697856067
6045,8071,1,9,04/03/23,13/03/23,14/03/23,28.77,Delivered,TRK198332100
6046,8072,12,3,24/05/23,02/06/23,02/06/23,44.57,Delivered,TRK410801758
6047,8073,6,15,22/01/22,23/01/22,25/01/22,33.84,In Transit,TRK568215891
6048,8074,25,9,21/09/22,25/09/22,25/09/22,31.38,Delivered,TRK148091208
6049,8075,11,13,22/04/23,29/04/23,,41.46,Delivered,TRK160383411
6050,8077,21,5,12/09/24,19/09/24,19/09/24,28.64,In Transit,TRK751318820
6051,8078,22,7,13/09/23,15/09/23,16/09/23,43.64,Delivered,TRK189410850
6052,8079,6,2,03/06/23,10/06/23,,19.25,Delivered,TRK514676577
6053,8080,8,15,29/12/24,06/01/25,,35.84,In Transit,TRK163909108
6054,8081,3,4,29/12/23,30/12/23,01/01/24,13.68,Delivered,TRK515070794
6055,8082,24,10,22/06/23,28/06/23,30/06/23,23.5,Delivered,TRK982691069
6056,8083,7,12,09/11/23,10/11/23,10/11/23,12.1,Delayed,TRK991140699
6057,8084,25,9,07/02/23,15/02/23,16/02/23,48.34,Delayed,TRK933079309
6058,8085,24,14,17/02/23,18/02/23,19/02/23,40.4,In Transit,TRK189823311
6059,8087,18,1,20/07/22,24/07/22,26/07/22,31,Delivered,TRK236988970
6060,8089,22,1,31/03/22,04/04/22,04/04/22,38.15,Delayed,TRK171808080
6061,8090,23,8,16/05/23,20/05/23,19/05/23,18.13,Delivered,TRK281623971
6062,8091,4,9,23/02/23,04/03/23,06/03/23,8.01,Delivered,TRK313627152
6063,8092,9,1,05/02/24,15/02/24,20/02/24,27.23,Delayed,TRK452195618
6064,8094,9,10,01/02/22,09/02/22,,48.78,Delayed,TRK909822161
6065,8095,7,14,08/04/22,10/04/22,12/04/22,30.11,Delivered,TRK265960941
6066,8096,7,9,21/04/23,27/04/23,02/05/23,24.91,In Transit,TRK177854038
6067,8097,13,18,14/02/24,16/02/24,23/02/24,45.84,Delivered,TRK163847911
6068,8099,24,10,19/05/23,24/05/23,23/05/23,25.1,Delayed,TRK403029533
6069,8100,6,17,22/11/24,26/11/24,26/11/24,44.5,In Transit,TRK243581043
6070,8101,1,7,29/07/23,06/08/23,09/08/23,28.87,Delivered,TRK437564148
6071,8102,1,18,11/09/23,14/09/23,,10.73,Delivered,TRK424246616
6072,8104,21,8,27/02/23,03/03/23,09/03/23,40.05,Delivered,TRK773988063
6073,8105,20,14,29/11/22,08/12/22,09/12/22,32.23,Delivered,TRK996013980
6074,8107,8,13,28/07/24,03/08/24,04/08/24,33.24,Delayed,TRK216893743
6075,8108,16,20,14/04/24,22/04/24,,14.09,Delivered,TRK228428973
6076,8111,4,11,26/10/24,31/10/24,01/11/24,45.02,In Transit,TRK443250927
6077,8112,22,19,29/10/24,02/11/24,,33.14,In Transit,TRK224658015
6078,8117,17,10,15/05/22,16/05/22,17/05/22,10.18,Delivered,TRK545738245
6079,8118,8,10,18/06/23,21/06/23,25/06/23,40.61,In Transit,TRK797203289
6080,8120,25,1,15/04/22,16/04/22,17/04/22,43.82,Delivered,TRK587173998
6081,8121,15,2,04/04/24,14/04/24,15/04/24,45.53,Delivered,TRK335516532
6082,8122,7,16,20/06/23,22/06/23,,48.07,Delivered,TRK933753920
6083,8123,22,10,05/03/23,15/03/23,15/03/23,19.95,In Transit,TRK571508425
6084,8124,20,18,25/07/22,03/08/22,,21,Delivered,TRK978024917
6085,8125,12,2,29/03/22,30/03/22,29/03/22,47.77,Delayed,TRK671605943
6086,8126,12,14,20/08/23,29/08/23,,36.08,In Transit,TRK918119153
6087,8129,2,7,11/06/22,13/06/22,14/06/22,45.84,Delayed,TRK168125823
6088,8131,6,4,24/02/24,29/02/24,02/03/24,36.92,Delayed,TRK175985069
6089,8132,10,5,23/03/23,25/03/23,26/03/23,35.76,Delivered,TRK805996684
6090,8135,12,12,02/07/22,07/07/22,06/07/22,43.08,Delivered,TRK536144879
6091,8136,2,4,25/10/23,01/11/23,,8.04,Delivered,TRK446241086
6092,8137,18,18,09/06/23,15/06/23,15/06/23,18.21,In Transit,TRK249583298
6093,8138,2,20,20/07/23,29/07/23,30/07/23,7.88,Delivered,TRK432437790
6094,8139,10,9,25/03/22,28/03/22,,39.68,Delivered,TRK865983870
6095,8141,11,16,19/02/24,23/02/24,,15.24,Delivered,TRK457413132
6096,8142,25,3,28/12/24,04/01/25,06/01/25,15.5,Delivered,TRK137763343
6097,8146,21,15,04/10/24,08/10/24,,24.75,Delivered,TRK711743950
6098,8147,18,1,28/04/22,01/05/22,30/04/22,32.92,Delivered,TRK187509244
6099,8148,20,17,05/09/23,13/09/23,,15.59,In Transit,TRK525994176
6100,8149,8,17,21/01/24,28/01/24,,8.92,Delivered,TRK175325597
6101,8150,13,8,15/02/23,17/02/23,24/02/23,29.61,Delayed,TRK475716809
6102,8151,12,18,06/07/24,07/07/24,06/07/24,23.2,In Transit,TRK787764784
6103,8152,12,14,21/02/22,27/02/22,,13.91,Delivered,TRK771314156
6104,8153,8,20,29/04/23,06/05/23,07/05/23,13.92,Delivered,TRK301571033
6105,8154,20,14,11/07/23,21/07/23,,48.9,Delayed,TRK709284898
6106,8155,22,15,05/01/22,13/01/22,,30.32,Delivered,TRK520467656
6107,8156,4,13,30/09/23,06/10/23,06/10/23,10.6,In Transit,TRK201523041
6108,8159,16,11,06/07/23,16/07/23,15/07/23,30.85,In Transit,TRK311581006
6109,8160,21,16,07/01/22,13/01/22,,9.96,In Transit,TRK115140841
6110,8161,20,14,29/09/23,03/10/23,04/10/23,18.49,Delayed,TRK474803860
6111,8163,9,10,28/02/22,06/03/22,06/03/22,35.19,In Transit,TRK464855026
6112,8165,5,10,05/09/22,08/09/22,11/09/22,5.52,Delivered,TRK722553299
6113,8167,12,15,17/01/23,22/01/23,23/01/23,34.44,Delivered,TRK133349136
6114,8168,11,12,05/11/22,11/11/22,10/11/22,38.06,In Transit,TRK767154632
6115,8169,14,13,28/02/22,10/03/22,,41.71,Delayed,TRK419584587
6116,8170,13,17,09/07/22,12/07/22,14/07/22,12.85,Delivered,TRK587779132
6117,8172,16,8,07/11/22,10/11/22,12/11/22,8.31,Delayed,TRK965008672
6118,8173,7,11,05/08/24,06/08/24,,9.11,Delivered,TRK405452530
6119,8174,15,14,28/12/24,05/01/25,,25.41,Delivered,TRK509261182
6120,8175,22,10,12/07/23,14/07/23,16/07/23,27.28,Delivered,TRK699432860
6121,8178,19,4,30/08/24,04/09/24,06/09/24,48.17,Delivered,TRK705344017
6122,8180,17,15,08/11/22,09/11/22,,13.23,Delivered,TRK122103490
6123,8181,22,17,10/03/22,18/03/22,,49.12,Delayed,TRK501610301
6124,8182,13,15,23/06/23,28/06/23,05/07/23,23.95,Delayed,TRK696869562
6125,8184,23,18,30/09/24,07/10/24,09/10/24,13.96,Delivered,TRK263242141
6126,8185,9,2,23/07/23,28/07/23,28/07/23,40.07,Delivered,TRK288823526
6127,8186,23,15,27/06/22,01/07/22,30/06/22,35.41,Delivered,TRK971372234
6128,8187,9,17,15/10/22,25/10/22,27/10/22,18.49,Delivered,TRK327776204
6129,8190,3,8,27/12/24,03/01/25,02/01/25,5.95,Delivered,TRK416297310
6130,8192,8,12,02/11/24,10/11/24,12/11/24,27.6,Delivered,TRK356674583
6131,8193,3,15,23/08/23,01/09/23,31/08/23,29.19,Delayed,TRK190964716
6132,8195,24,13,01/05/24,05/05/24,,19.28,Delivered,TRK673035269
6133,8196,18,5,10/01/22,16/01/22,,47.62,Lost,TRK395974201
6134,8197,8,2,16/03/22,25/03/22,31/03/22,30.43,Delayed,TRK162319425
6135,8198,3,3,13/05/24,15/05/24,15/05/24,18.02,Delivered,TRK630106088
6136,8199,22,19,04/11/24,09/11/24,11/11/24,16.14,Delivered,TRK885265470
6137,8201,7,20,11/04/24,12/04/24,11/04/24,33.45,Delivered,TRK650212581
6138,8202,14,16,13/03/22,14/03/22,16/03/22,6.9,In Transit,TRK545438344
6139,8203,7,19,15/05/22,18/05/22,19/05/22,19.93,Delivered,TRK863587032
6140,8204,4,10,15/02/23,24/02/23,,21.83,Delivered,TRK140172674
6141,8205,9,13,09/01/22,18/01/22,20/01/22,12.03,Delivered,TRK462793825
6142,8206,23,2,19/07/22,29/07/22,,18.86,Delayed,TRK170260510
6143,8207,8,17,29/05/23,05/06/23,05/06/23,41.92,Delivered,TRK970202829
6144,8208,20,2,07/06/24,12/06/24,17/06/24,9.25,Delivered,TRK949557925
6145,8210,1,13,24/12/23,30/12/23,01/01/24,46.36,In Transit,TRK967504578
6146,8211,13,3,15/12/22,22/12/22,24/12/22,32.95,In Transit,TRK132081611
6147,8212,11,10,18/04/23,25/04/23,,7.86,In Transit,TRK990585149
6148,8213,17,10,02/04/24,11/04/24,13/04/24,22.22,In Transit,TRK204586613
6149,8214,10,18,18/02/22,27/02/22,,21.17,Delivered,TRK953099498
6150,8215,14,14,09/02/23,13/02/23,13/02/23,35.44,Delivered,TRK563275313
6151,8216,5,16,06/11/24,12/11/24,,34.2,Delayed,TRK223501025
6152,8217,17,19,05/08/24,11/08/24,11/08/24,40.14,Delivered,TRK940744145
6153,8218,3,3,02/05/23,07/05/23,,10.41,In Transit,TRK872487552
6154,8219,1,8,18/06/24,20/06/24,21/06/24,8.94,Delivered,TRK174846285
6155,8220,19,4,02/06/22,11/06/22,10/06/22,20.22,In Transit,TRK330255806
6156,8221,14,15,19/02/22,25/02/22,,27.72,Delayed,TRK307369968
6157,8224,9,11,19/10/23,21/10/23,22/10/23,42.12,In Transit,TRK536184148
6158,8225,9,9,22/01/24,28/01/24,03/02/24,12.01,Delivered,TRK279044853
6159,8226,1,2,10/01/22,18/01/22,17/01/22,9.65,Delivered,TRK865769739
6160,8229,8,4,01/07/24,10/07/24,09/07/24,20.71,Delivered,TRK280123199
6161,8230,11,15,22/12/23,24/12/23,,48.98,Lost,TRK291541837
6162,8233,17,1,11/12/22,12/12/22,,28.39,Delivered,TRK132614472
6163,8234,16,5,21/02/24,02/03/24,03/03/24,7.76,Delivered,TRK104226375
6164,8235,10,4,10/02/24,15/02/24,15/02/24,26.73,Delivered,TRK501681813
6165,8236,15,14,13/09/22,17/09/22,,26.8,In Transit,TRK285806525
6166,8237,7,6,11/12/23,13/12/23,,49.85,Delayed,TRK767133999
6167,8238,10,5,26/05/24,29/05/24,28/05/24,28.32,Delivered,TRK305496060
6168,8240,22,3,01/04/23,05/04/23,07/04/23,8.16,Delivered,TRK745028022
6169,8241,12,13,06/09/23,13/09/23,,32.38,Delivered,TRK246099421
6170,8243,13,6,29/07/24,31/07/24,,12.34,Delivered,TRK311850806
6171,8247,25,17,06/06/23,15/06/23,,16.34,In Transit,TRK222875925
6172,8249,20,16,10/07/24,15/07/24,,14.59,Delivered,TRK664901079
6173,8250,13,13,14/04/22,15/04/22,,38.24,Delivered,TRK870030498
6174,8251,1,13,20/11/23,22/11/23,,29.99,In Transit,TRK831429835
6175,8252,25,2,06/03/24,16/03/24,17/03/24,23.76,Delivered,TRK812992268
6176,8253,8,17,17/10/24,26/10/24,,39.51,Delivered,TRK523024231
6177,8254,11,5,11/12/24,19/12/24,20/12/24,47.07,In Transit,TRK723200926
6178,8255,13,12,17/08/22,24/08/22,,19.68,In Transit,TRK373932208
6179,8256,11,1,13/12/22,18/12/22,19/12/22,19.55,Delivered,TRK448775198
6180,8257,18,3,14/08/23,23/08/23,22/08/23,6.64,Delivered,TRK450593437
6181,8258,19,10,29/08/22,08/09/22,08/09/22,25.55,Delivered,TRK182428392
6182,8259,13,11,24/04/24,25/04/24,25/04/24,41.2,Delivered,TRK602806899
6183,8260,24,4,01/05/24,08/05/24,09/05/24,10.75,Delayed,TRK402300668
6184,8262,21,18,06/01/23,09/01/23,11/01/23,31.7,Delivered,TRK104295829
6185,8263,5,20,24/06/22,03/07/22,03/07/22,27.09,Delivered,TRK254048306
6186,8264,17,11,02/05/24,11/05/24,10/05/24,42.59,Delayed,TRK306952703
6187,8266,16,1,24/03/23,03/04/23,03/04/23,39.89,Delivered,TRK160743040
6188,8267,2,10,22/01/24,24/01/24,,6.97,Delivered,TRK359004745
6189,8268,15,2,22/03/22,27/03/22,26/03/22,44.49,In Transit,TRK340197198
6190,8269,3,12,07/09/24,12/09/24,14/09/24,7.6,Delivered,TRK387939312
6191,8270,5,20,23/08/22,31/08/22,30/08/22,48.36,Delivered,TRK304683051
6192,8272,9,11,19/05/24,20/05/24,19/05/24,43.49,In Transit,TRK683506967
6193,8273,10,13,31/01/23,08/02/23,07/02/23,42.63,In Transit,TRK529486460
6194,8275,24,9,18/04/24,22/04/24,24/04/24,49.74,In Transit,TRK675378232
6195,8278,17,13,05/10/24,10/10/24,10/10/24,38,Delivered,TRK606822169
6196,8279,22,15,09/04/23,16/04/23,15/04/23,20.39,Delivered,TRK942573627
6197,8280,10,17,10/03/22,16/03/22,17/03/22,36.85,Delivered,TRK705829095
6198,8282,22,18,14/12/24,21/12/24,24/12/24,41.95,In Transit,TRK285352843
6199,8283,5,9,28/04/23,29/04/23,30/04/23,46.73,Delivered,TRK197077913
6200,8284,10,9,03/04/24,12/04/24,14/04/24,32.52,Delivered,TRK805108116
6201,8286,7,9,12/10/23,18/10/23,,23.49,Delivered,TRK219897860
6202,8287,9,9,03/09/22,08/09/22,08/09/22,37.07,Delivered,TRK553738145
6203,8289,7,8,04/10/22,10/10/22,13/10/22,22,Delivered,TRK646010834
6204,8291,16,7,20/08/23,27/08/23,29/08/23,8.54,Delivered,TRK999763040
6205,8292,22,13,08/08/22,15/08/22,16/08/22,10.41,Delivered,TRK252720551
6206,8293,20,9,05/12/22,13/12/22,,7.6,In Transit,TRK177978603
6207,8296,15,4,25/02/23,05/03/23,,13.58,In Transit,TRK445219650
6208,8297,8,16,15/12/24,18/12/24,18/12/24,15.33,In Transit,TRK446827498
6209,8298,23,8,27/09/24,29/09/24,28/09/24,42.63,Delayed,TRK173228237
6210,8300,2,10,29/11/22,01/12/22,30/11/22,36.87,Delivered,TRK921192616
6211,8301,2,2,30/09/24,10/10/24,12/10/24,30.97,Delivered,TRK568897097
6212,8302,9,18,18/08/23,25/08/23,26/08/23,44.8,In Transit,TRK552048851
6213,8303,20,6,30/12/22,02/01/23,,36.75,Delivered,TRK243590094
6214,8304,20,14,05/03/22,06/03/22,09/03/22,20.62,In Transit,TRK170665379
6215,8305,12,5,13/06/24,18/06/24,,11.08,Delivered,TRK696832878
6216,8306,15,17,18/10/24,20/10/24,,33.68,Delivered,TRK550019107
6217,8307,19,18,12/02/24,14/02/24,,16.13,Delivered,TRK162943164
6218,8308,16,7,12/03/23,18/03/23,17/03/23,8.87,Delivered,TRK151957325
6219,8311,4,5,02/04/22,05/04/22,06/04/22,9.01,Delivered,TRK389355894
6220,8312,8,16,25/11/24,28/11/24,27/11/24,25.02,Delivered,TRK265416855
6221,8313,10,17,01/07/22,07/07/22,12/07/22,40.79,Lost,TRK280664277
6222,8314,10,4,18/09/23,21/09/23,23/09/23,21.08,Delivered,TRK522626006
6223,8315,13,11,16/03/24,23/03/24,26/03/24,6.86,Delivered,TRK795262961
6224,8317,22,10,13/02/22,14/02/22,15/02/22,7.53,In Transit,TRK335403268
6225,8318,12,9,24/10/24,31/10/24,,37.66,Delivered,TRK875036146
6226,8319,2,4,19/09/24,20/09/24,19/09/24,33.37,Delivered,TRK224263104
6227,8320,18,13,29/12/22,02/01/23,,7.88,Delivered,TRK371237425
6228,8321,25,10,17/02/22,19/02/22,18/02/22,41.29,Delivered,TRK940376153
6229,8322,1,20,21/11/23,29/11/23,29/11/23,16.98,Delivered,TRK692042415
6230,8323,13,14,07/12/22,08/12/22,07/12/22,47.1,Delivered,TRK433751689
6231,8324,17,13,01/02/22,03/02/22,03/02/22,16.91,Delivered,TRK398413258
6232,8327,7,13,18/09/22,22/09/22,,26.94,In Transit,TRK149925256
6233,8328,6,6,13/11/24,18/11/24,20/11/24,37.9,In Transit,TRK847426089
6234,8329,25,15,28/12/24,01/01/25,01/01/25,13.83,Delayed,TRK988722042
6235,8330,14,7,25/05/23,30/05/23,,17.58,In Transit,TRK116416943
6236,8331,14,1,17/07/23,26/07/23,27/07/23,42.91,In Transit,TRK408603053
6237,8332,8,2,05/03/23,06/03/23,05/03/23,42.04,In Transit,TRK309169685
6238,8333,21,3,25/10/23,28/10/23,,13.41,In Transit,TRK512525527
6239,8334,10,13,29/01/24,06/02/24,08/02/24,39.99,Delivered,TRK105742497
6240,8335,10,13,11/06/22,19/06/22,20/06/22,24.93,Delivered,TRK433724241
6241,8336,1,18,07/06/24,17/06/24,16/06/24,43.79,Delivered,TRK225073950
6242,8338,10,5,10/05/23,17/05/23,18/05/23,14.2,Delayed,TRK602997868
6243,8339,18,3,08/03/23,16/03/23,18/03/23,28.81,In Transit,TRK698508377
6244,8341,5,12,18/07/22,22/07/22,27/07/22,17.04,Delivered,TRK374860794
6245,8343,10,3,22/03/23,25/03/23,,19.13,Delivered,TRK981142603
6246,8344,3,6,14/11/23,17/11/23,,9.96,Delayed,TRK104022429
6247,8345,10,12,05/10/24,06/10/24,05/10/24,12.42,Delivered,TRK900567388
6248,8346,22,7,15/12/22,25/12/22,29/12/22,33.88,In Transit,TRK391728874
6249,8347,24,5,08/10/24,16/10/24,15/10/24,46.04,Delivered,TRK642215812
6250,8348,24,13,24/10/22,30/10/22,31/10/22,45.29,Delivered,TRK968652453
6251,8349,13,2,29/10/24,02/11/24,04/11/24,18.61,Delivered,TRK646278435
6252,8350,18,10,21/01/24,28/01/24,31/01/24,23.36,Delivered,TRK241827073
6253,8351,1,3,02/01/25,12/01/25,11/01/25,13.39,Delivered,TRK332682492
6254,8353,6,12,06/01/24,12/01/24,11/01/24,12.69,Delivered,TRK758876855
6255,8354,2,15,20/07/22,22/07/22,24/07/22,45.15,Delivered,TRK653033802
6256,8355,17,6,17/09/24,23/09/24,23/09/24,38.43,Delivered,TRK166968406
6257,8356,14,8,10/05/24,14/05/24,13/05/24,49.81,In Transit,TRK841731374
6258,8357,9,1,15/09/24,19/09/24,23/09/24,9.61,Delivered,TRK551430347
6259,8359,6,15,21/11/24,29/11/24,,20.84,Delivered,TRK539174026
6260,8360,2,9,13/01/22,15/01/22,,26.25,Delivered,TRK614410095
6261,8361,18,14,05/08/24,13/08/24,,43.14,Delivered,TRK689866102
6262,8362,6,15,14/04/24,21/04/24,22/04/24,41.35,In Transit,TRK499421005
6263,8363,22,5,09/02/24,19/02/24,22/02/24,22.22,Delivered,TRK555101713
6264,8365,11,11,22/12/22,28/12/22,30/12/22,25.5,Delivered,TRK331135791
6265,8366,24,1,12/01/23,19/01/23,20/01/23,48.13,Delivered,TRK106486132
